Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2026-01-04,Walking,Cardio,86.2,15,,,,,
2026-01-05,Walking,Cardio,171.3,25,,,,,
2026-01-06,Walking,Cardio,130.4,23,,,,,
2026-01-07,Walking,Cardio,210.4,27,,,,,
2026-01-08,Walking,Cardio,326.3,41,,,,,
2026-01-09,Walking,Cardio,160.8,22,,,,,
2026-01-10,Walking,Cardio,147.0,24,,,,,
2026-01-11,Walking,Cardio,173.9,29,,,,,
2026-01-11,Strength Training,Strength,454.0,55,5,8,135,,
2026-01-12,Walking,Cardio,91.7,13,,,,,
2026-01-13,Walking,Cardio,162.2,20,,,,,
2026-01-13,Interval Training,Cardio,370.1,46,,,,,
2026-01-14,Walking,Cardio,212.7,33,,,,,
2026-01-15,Walking,Cardio,152.3,25,,,,,
2026-01-16,Walking,Cardio,91.6,22,,,,,
2026-01-16,Interval Training,Cardio,274.9,36,,,,,
2026-01-17,Walking,Cardio,177.6,19,,,,,
2026-01-18,Walking,Cardio,202.2,28,,,,,
2026-01-19,Walking,Cardio,61.0,13,,,,,
2026-01-20,Walking,Cardio,117.8,16,,,,,
2026-01-21,Walking,Cardio,214.6,28,,,,,
2026-01-22,Walking,Cardio,186.5,22,,,,,
2026-01-23,Walking,Cardio,191.8,36,,,,,
2026-01-24,Walking,Cardio,129.3,21,,,,,
2026-01-24,Cycling,Cardio,183.7,20,,,,,
2026-01-25,Walking,Cardio,139.5,23,,,,,
2026-01-25,Interval Training,Cardio,429.3,54,,,,,
2026-01-26,Walking,Cardio,79.2,18,,,,,
2026-01-26,Strength Training,Strength,270.3,38,5,8,135,,
2026-01-27,Walking,Cardio,182.2,28,,,,,
2026-01-28,Walking,Cardio,87.6,17,,,,,
2026-01-29,Walking,Cardio,217.0,31,,,,,
2026-01-29,Strength Training,Strength,313.8,38,5,8,135,,
2026-01-30,Walking,Cardio,73.9,12,,,,,
2026-01-31,Walking,Cardio,157.7,30,,,,,
2026-01-31,Interval Training,Cardio,302.7,39,,,,,
2026-02-01,Walking,Cardio,27.2,12,,,,,
2026-02-01,Strength Training,Strength,351.6,43,5,8,135,,
2026-02-02,Walking,Cardio,76.9,18,,,,,
2026-02-02,Cycling,Cardio,434.6,55,,,,,
2026-02-03,Walking,Cardio,131.2,23,,,,,
2026-02-04,Walking,Cardio,103.8,8,,,,,
2026-02-05,Walking,Cardio,155.6,27,,,,,
2026-02-06,Walking,Cardio,229.8,30,,,,,
2026-02-06,Interval Training,Cardio,195.3,27,,,,,
2026-02-07,Walking,Cardio,212.7,36,,,,,
2026-02-07,Strength Training,Strength,311.5,36,5,8,135,,
2026-02-08,Walking,Cardio,37.0,10,,,,,
2026-02-08,Cycling,Cardio,290.4,36,,,,,
2026-02-09,Walking,Cardio,113.6,14,,,,,
2026-02-09,Interval Training,Cardio,433.8,51,,,,,
2026-02-10,Walking,Cardio,177.2,24,,,,,
2026-02-11,Walking,Cardio,37.4,8,,,,,
2026-02-12,Walking,Cardio,80.5,18,,,,,
2026-02-13,Walking,Cardio,267.3,34,,,,,
2026-02-14,Walking,Cardio,65.7,14,,,,,
2026-02-15,Walking,Cardio,85.4,15,,,,,
2026-02-15,Interval Training,Cardio,374.0,44,,,,,
2026-02-16,Walking,Cardio,191.1,30,,,,,
2026-02-17,Walking,Cardio,240.6,35,,,,,
2026-02-18,Walking,Cardio,206.6,28,,,,,
2026-02-19,Walking,Cardio,90.4,8,,,,,
2026-02-19,Strength Training,Strength,183.9,22,5,8,135,,
2026-02-20,Walking,Cardio,74.0,8,,,,,
2026-02-21,Walking,Cardio,152.5,23,,,,,
2026-02-22,Walking,Cardio,44.6,8,,,,,
2026-02-22,Strength Training,Strength,316.7,40,5,8,135,,
2026-02-23,Walking,Cardio,232.2,32,,,,,
2026-02-24,Walking,Cardio,158.7,29,,,,,
2026-02-25,Walking,Cardio,208.4,30,,,,,
2026-02-26,Walking,Cardio,67.0,11,,,,,
2026-02-27,Walking,Cardio,152.8,23,,,,,
2026-02-28,Walking,Cardio,144.3,16,,,,,
2026-02-28,Strength Training,Strength,258.4,29,5,8,135,,
2026-03-01,Walking,Cardio,131.8,33,,,,,
2026-03-01,Cycling,Cardio,239.5,24,,,,,
2026-03-02,Walking,Cardio,158.9,21,,,,,
2026-03-02,Interval Training,Cardio,137.6,20,,,,,
2026-03-03,Walking,Cardio,198.0,21,,,,,
2026-03-04,Walking,Cardio,113.4,13,,,,,
2026-03-04,Cycling,Cardio,263.8,31,,,,,
2026-03-05,Walking,Cardio,73.2,13,,,,,
2026-03-05,Interval Training,Cardio,304.7,42,,,,,
2026-03-06,Walking,Cardio,187.1,23,,,,,
2026-03-06,Strength Training,Strength,484.2,55,5,8,135,,
2026-03-07,Walking,Cardio,122.8,20,,,,,
2026-03-08,Walking,Cardio,61.3,8,,,,,
2026-03-09,Walking,Cardio,181.4,34,,,,,
2026-03-10,Walking,Cardio,190.6,29,,,,,
2026-03-10,Cycling,Cardio,395.0,47,,,,,
2026-03-11,Walking,Cardio,129.9,22,,,,,
2026-03-12,Walking,Cardio,127.8,21,,,,,
2026-03-13,Walking,Cardio,90.9,12,,,,,
2026-03-13,Cycling,Cardio,171.3,23,,,,,
2026-03-14,Walking,Cardio,81.0,15,,,,,
2026-03-15,Walking,Cardio,86.3,18,,,,,
2026-03-16,Walking,Cardio,132.4,25,,,,,
2026-03-17,Walking,Cardio,90.0,10,,,,,
2026-03-17,Interval Training,Cardio,337.8,40,,,,,
2026-03-18,Walking,Cardio,98.2,16,,,,,
2026-03-19,Walking,Cardio,133.1,15,,,,,
2026-03-20,Walking,Cardio,130.1,17,,,,,
2026-03-21,Walking,Cardio,134.0,15,,,,,
2026-03-21,Strength Training,Strength,453.8,50,5,8,135,,
2026-03-22,Walking,Cardio,170.8,19,,,,,
2026-03-23,Walking,Cardio,74.9,8,,,,,
2026-03-24,Walking,Cardio,150.9,20,,,,,
2026-03-24,Strength Training,Strength,556.8,65,5,8,135,,
2026-03-25,Walking,Cardio,114.3,23,,,,,
2026-03-25,Cycling,Cardio,454.9,54,,,,,
2026-03-26,Walking,Cardio,118.9,16,,,,,
2026-03-27,Walking,Cardio,284.0,45,,,,,
2026-03-28,Walking,Cardio,229.3,33,,,,,
2026-03-28,Cycling,Cardio,210.6,20,,,,,
2026-03-29,Walking,Cardio,35.0,8,,,,,
2026-03-30,Walking,Cardio,122.3,19,,,,,
2026-03-31,Walking,Cardio,110.5,23,,,,,
2026-03-31,Cycling,Cardio,314.1,35,,,,,
2026-04-01,Walking,Cardio,173.6,33,,,,,
2026-04-02,Walking,Cardio,207.1,34,,,,,
2026-04-02,Strength Training,Strength,369.4,46,5,8,135,,
2026-04-03,Walking,Cardio,38.2,13,,,,,
2026-04-04,Walking,Cardio,130.0,22,,,,,
2026-04-05,Walking,Cardio,86.0,23,,,,,
2026-04-06,Walking,Cardio,95.7,16,,,,,
2026-04-06,Cycling,Cardio,323.8,39,,,,,
2026-04-07,Walking,Cardio,138.5,27,,,,,
2026-04-07,Interval Training,Cardio,296.1,35,,,,,
2026-04-08,Walking,Cardio,206.9,36,,,,,
2026-04-08,Strength Training,Strength,214.5,27,5,8,135,,
2026-04-09,Walking,Cardio,223.6,35,,,,,
2026-04-10,Walking,Cardio,183.5,21,,,,,
2026-04-11,Walking,Cardio,152.5,24,,,,,
2026-04-12,Walking,Cardio,99.0,21,,,,,
2026-04-13,Walking,Cardio,85.6,18,,,,,
2026-04-14,Walking,Cardio,149.9,26,,,,,
2026-04-14,Strength Training,Strength,295.5,38,5,8,135,,
2026-04-15,Walking,Cardio,-20.8,10,,,,,
2026-04-16,Walking,Cardio,85.2,14,,,,,
2026-04-16,Interval Training,Cardio,342.4,42,,,,,
2026-04-17,Walking,Cardio,219.9,29,,,,,
2026-04-18,Walking,Cardio,220.4,34,,,,,
2026-04-19,Walking,Cardio,127.5,22,,,,,
2026-04-20,Walking,Cardio,111.3,22,,,,,
2026-04-21,Walking,Cardio,65.1,11,,,,,
2026-04-22,Walking,Cardio,139.6,24,,,,,
2026-04-23,Walking,Cardio,148.8,25,,,,,
2026-04-24,Walking,Cardio,127.9,24,,,,,
2026-04-24,Cycling,Cardio,417.7,52,,,,,
2026-04-25,Walking,Cardio,74.8,11,,,,,
2026-04-26,Walking,Cardio,153.2,24,,,,,
2026-04-26,Strength Training,Strength,466.0,59,5,8,135,,
2026-04-27,Walking,Cardio,46.1,10,,,,,
2026-04-28,Walking,Cardio,91.8,14,,,,,
2026-04-29,Walking,Cardio,217.6,31,,,,,
2026-04-29,Strength Training,Strength,446.4,55,5,8,135,,
2026-04-30,Walking,Cardio,168.7,23,,,,,
2026-05-01,Walking,Cardio,157.3,22,,,,,
2026-05-02,Walking,Cardio,264.4,43,,,,,
2026-05-03,Walking,Cardio,73.8,8,,,,,
2026-05-04,Walking,Cardio,80.6,13,,,,,
2026-05-04,Interval Training,Cardio,294.8,38,,,,,
2026-05-05,Walking,Cardio,47.9,15,,,,,
2026-05-06,Walking,Cardio,121.8,17,,,,,
2026-05-06,Cycling,Cardio,309.2,40,,,,,
2026-05-07,Walking,Cardio,179.3,29,,,,,
2026-05-08,Walking,Cardio,132.6,21,,,,,
2026-05-08,Strength Training,Strength,298.9,39,5,8,135,,
2026-05-09,Walking,Cardio,147.5,30,,,,,
2026-05-10,Walking,Cardio,205.5,29,,,,,
2026-05-10,Interval Training,Cardio,336.6,45,,,,,
2026-05-11,Walking,Cardio,122.8,22,,,,,
2026-05-11,Strength Training,Strength,384.2,48,5,8,135,,
2026-05-12,Walking,Cardio,182.9,26,,,,,
2026-05-12,Cycling,Cardio,270.2,36,,,,,
2026-05-13,Walking,Cardio,140.6,32,,,,,
2026-05-14,Walking,Cardio,163.1,28,,,,,
2026-05-14,Strength Training,Strength,405.7,48,5,8,135,,
2026-05-15,Walking,Cardio,109.7,16,,,,,
2026-05-16,Walking,Cardio,95.2,19,,,,,
2026-05-17,Walking,Cardio,98.9,16,,,,,
2026-05-17,Strength Training,Strength,222.1,28,5,8,135,,
2026-05-18,Walking,Cardio,113.0,16,,,,,
2026-05-18,Cycling,Cardio,394.8,54,,,,,
2026-05-19,Walking,Cardio,207.3,33,,,,,
2026-05-20,Walking,Cardio,58.0,15,,,,,
2026-05-21,Walking,Cardio,94.0,14,,,,,
2026-05-22,Walking,Cardio,181.1,28,,,,,
2026-05-22,Interval Training,Cardio,162.1,24,,,,,
2026-05-23,Walking,Cardio,205.8,28,,,,,
2026-05-24,Walking,Cardio,205.3,30,,,,,
2026-05-25,Walking,Cardio,142.9,25,,,,,
2026-05-26,Walking,Cardio,203.9,32,,,,,
2026-05-27,Walking,Cardio,79.9,9,,,,,
2026-05-28,Walking,Cardio,202.8,36,,,,,
2026-05-29,Walking,Cardio,50.1,9,,,,,
2026-05-30,Walking,Cardio,138.4,25,,,,,
2026-05-31,Walking,Cardio,182.3,23,,,,,
2026-06-01,Walking,Cardio,68.8,19,,,,,
2026-06-02,Walking,Cardio,123.2,20,,,,,
2026-06-02,Cycling,Cardio,329.1,42,,,,,
2026-06-03,Walking,Cardio,160.6,21,,,,,
2026-06-04,Walking,Cardio,55.5,11,,,,,
2026-06-05,Walking,Cardio,73.0,13,,,,,
2026-06-06,Walking,Cardio,88.7,18,,,,,
2026-06-06,Interval Training,Cardio,431.6,53,,,,,
2026-06-07,Walking,Cardio,75.2,11,,,,,
2026-06-08,Walking,Cardio,173.7,29,,,,,
2026-06-08,Cycling,Cardio,450.3,54,,,,,
2026-06-09,Walking,Cardio,104.1,12,,,,,
2026-06-09,Interval Training,Cardio,340.2,37,,,,,
2026-06-10,Walking,Cardio,112.2,22,,,,,
2026-06-11,Walking,Cardio,74.3,17,,,,,
2026-06-11,Cycling,Cardio,117.3,20,,,,,
2026-06-12,Walking,Cardio,131.1,25,,,,,
2026-06-13,Walking,Cardio,149.7,20,,,,,
2026-06-14,Walking,Cardio,83.6,14,,,,,
2026-06-15,Walking,Cardio,164.2,27,,,,,
2026-06-16,Walking,Cardio,66.1,8,,,,,
2026-06-16,Strength Training,Strength,329.3,47,5,8,135,,
2026-06-17,Walking,Cardio,124.4,19,,,,,
2026-06-18,Walking,Cardio,157.7,22,,,,,
2026-06-19,Walking,Cardio,132.6,17,,,,,
2026-06-20,Walking,Cardio,110.2,21,,,,,
2026-06-21,Walking,Cardio,149.8,23,,,,,
2026-06-22,Walking,Cardio,167.8,25,,,,,
2026-06-23,Walking,Cardio,118.8,18,,,,,
2026-06-24,Walking,Cardio,117.3,18,,,,,
2026-06-25,Walking,Cardio,212.2,23,,,,,
2026-06-25,Strength Training,Strength,236.2,28,5,8,135,,
2026-06-26,Walking,Cardio,65.4,14,,,,,
2026-06-27,Walking,Cardio,117.7,26,,,,,
2026-06-28,Walking,Cardio,172.0,31,,,,,
2026-06-29,Walking,Cardio,150.2,25,,,,,
2026-06-30,Walking,Cardio,74.4,12,,,,,
2026-07-01,Walking,Cardio,164.6,29,,,,,
2026-07-02,Walking,Cardio,190.6,30,,,,,
2026-07-03,Walking,Cardio,123.2,25,,,,,
2026-07-04,Walking,Cardio,154.4,23,,,,,
2026-07-04,Strength Training,Strength,375.0,46,5,8,135,,
2026-07-05,Walking,Cardio,111.5,12,,,,,
2026-07-06,Walking,Cardio,227.0,33,,,,,
