Date/Time,Step Count (steps),Active Energy (kcal),Resting Energy (kcal),Apple Exercise Time (min),Apple Stand Time (min),Walking + Running Distance (mi),Flights Climbed (count),VO2 Max (ml/(kg·min)),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Resting Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Blood Oxygen Saturation (%),Walking Heart Rate Average (bpm),Heart Rate [Avg] (bpm),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Apple Sleeping Wrist Temperature (ºF),Alcohol Consumption (count),Dietary Energy (kcal),Protein (g)
2026-02-16,12138,974.7,2025,35,189,5.14,10,44.37,7.8,0,8.29,5.26,0.76,1.78,0.48,61,68.34,15.33,98.09,103,80.1,51,150,98.24,0,9999,999
2026-02-17,7818,731.1,2084,0,110,3.54,12,44.65,6.84,0,7.19,3.63,0.8,2.41,0.35,58,61.86,14.59,98.02,92,72.9,46,126,97.6,0,9999,999
2026-02-18,6398,800.7,2030,54,177,2.98,11,43.39,8.65,0,8.79,5.79,0.93,1.93,0.14,59,65.44,14.51,97.69,93,77.1,47,163,98.21,0,9999,999
2026-02-19,8109,788.5,2108,16,161,3.51,9,43.97,7.93,0,8.21,4.94,1.16,1.82,0.28,59,65.23,14.76,97.34,104,78.1,51,154,97.88,0,9999,999
2026-02-20,12240,968.4,2005,29,164,5.53,8,43.54,8.61,0,9.01,6.04,0.91,1.66,0.4,59,53.51,14.17,97.6,100,80.8,45,151,97.56,2,9999,999
2026-02-21,10595,1030.0,2022,42,134,4.53,5,44.55,7.8,0,8.46,5.08,0.91,1.81,0.67,62,83.39,15.04,96.48,99,86.3,52,153,97.94,4,9999,999
2026-02-22,12922,1039.5,2005,24,152,5.46,0,43.44,7.5,0,7.99,4.81,0.85,1.83,0.49,61,58.48,14.48,97.12,102,79.4,47,174,97.82,0,9999,999
2026-02-23,9349,777.9,2058,36,120,4.02,2,43.52,7.92,0,8.56,4.96,1.4,1.56,0.64,61,60.46,14.78,96.61,90,81.2,49,147,98.23,0,9999,999
2026-02-24,10336,916.9,2026,22,186,4.55,8,44.06,7.94,0,8.46,4.9,1.21,1.83,0.52,57,69.19,14.91,98.32,98,71.5,48,140,98.34,0,9999,999
2026-02-25,14069,953.1,2014,41,134,6.21,11,43.77,7.62,0,7.8,5.07,0.91,1.64,0.18,61,71.58,15.98,97.06,105,90.8,50,145,98.34,0,9999,999
2026-02-26,9137,795.3,2066,26,142,4.15,4,44.33,,0,6.78,3.46,1.2,1.76,0.37,66,49.64,16.21,96.09,98,83.5,53,154,97.39,0,9999,999
2026-02-27,8716,1089.3,2078,73,185,3.78,12,43.73,7.97,0,8.26,5.03,0.92,2.01,0.29,58,65.83,15.12,97.01,93,78.9,48,169,97.5,1,9999,999
2026-02-28,11381,1025.3,2028,70,148,5.09,0,44.48,8.03,0,8.39,5.54,0.8,1.69,0.36,65,60.98,14.9,97.47,107,89.5,54,161,97.78,2,9999,999
2026-03-01,7722,663.0,2060,0,127,3.46,9,44.75,8.26,0,8.4,5.62,0.86,1.78,0.14,60,78.96,14.05,97.08,98,76.4,52,129,97.31,0,9999,999
2026-03-02,8266,783.8,2100,71,204,3.82,7,44.01,7.23,0,7.71,4.52,0.94,1.78,0.48,61,69.6,15.39,97.54,96,85.3,49,162,97.78,0,9999,999
2026-03-03,5661,665.5,2063,37,191,2.19,0,44.01,7.59,0,8.03,4.72,0.73,2.14,0.44,60,71.13,15.23,97.08,92,80.6,50,175,97.49,0,9999,999
2026-03-04,6153,674.6,2005,31,143,2.96,0,43.96,7.14,0,7.61,3.95,1.05,2.14,0.46,64,51.76,14.53,96.59,96,84.7,49,162,97.75,0,9999,999
2026-03-05,7939,813.8,1985,43,172,3.29,4,43.78,7.55,0,7.9,4.66,1.25,1.64,0.35,64,57.33,15.64,96.96,92,86.1,54,148,96.98,0,9999,999
2026-03-06,15802,1236.3,2044,53,126,6.89,4,43.72,6.71,0,6.92,3.12,1.19,2.4,0.21,65,56.04,13.69,97.0,103,94.1,54,152,98.28,0,9999,999
2026-03-07,6033,802.7,2056,56,169,2.43,6,44.18,7.88,0,8.56,5.4,1.07,1.41,0.68,64,55.59,15.0,97.42,94,84.0,56,166,97.51,0,9999,999
2026-03-08,6695,751.5,2031,0,171,3.01,13,44.0,8.08,0,8.49,5.41,1.4,1.27,0.42,59,65.6,14.4,96.66,92,79.4,47,136,97.93,0,9999,999
2026-03-09,6991,782.5,2051,56,184,3.27,6,44.59,6.47,0,6.92,3.32,1.27,1.88,0.45,59,66.93,15.28,97.58,93,85.3,46,167,97.87,0,9999,999
2026-03-10,10597,886.0,2049,5,127,4.57,10,44.64,7.41,0,7.62,4.45,1.05,1.91,0.21,58,59.74,15.58,97.82,97,86.8,50,150,97.84,0,9999,999
2026-03-11,11461,1032.8,2076,47,114,5.02,17,43.9,7.36,0,7.65,4.53,1.22,1.6,0.3,61,59.24,14.65,98.24,101,82.2,48,160,96.96,0,9999,999
2026-03-12,7527,668.6,2059,5,199,3.35,0,44.41,7.91,0,8.54,4.61,1.33,1.98,0.62,63,48.45,15.63,97.56,99,84.5,51,138,98.06,0,9999,999
2026-03-13,10539,911.9,2117,44,163,4.77,14,44.34,6.96,0,7.53,3.52,1.26,2.18,0.57,64,54.39,15.67,97.17,103,85.6,52,173,97.49,1,9999,999
2026-03-14,10374,819.9,2052,5,177,4.68,0,45.11,7.04,0,7.44,4.2,0.86,1.99,0.4,62,57.37,15.59,97.19,100,85.2,50,132,96.84,4,9999,999
2026-03-15,6027,667.0,2053,13,180,2.46,4,44.27,,0,7.91,4.87,1.07,1.54,0.43,64,77.07,15.62,96.54,93,84.2,53,147,97.49,0,9999,999
2026-03-16,11893,1113.2,2057,70,149,5.09,4,43.84,6.94,0,7.33,4.67,0.99,1.29,0.39,66,50.35,14.48,96.67,100,86.3,54,180,97.44,0,9999,999
2026-03-17,9340,923.8,1997,16,158,4.23,3,44.25,7.61,0,8.15,4.53,1.23,1.85,0.54,61,52.84,14.4,97.63,103,82.3,50,131,97.69,0,9999,999
2026-03-18,9727,1064.0,2090,44,116,4.45,9,43.87,7.24,0,7.65,4.41,0.95,1.88,0.41,61,57.44,16.32,98.04,104,79.8,51,145,97.4,0,9999,999
2026-03-19,7495,773.4,2134,38,150,3.13,14,43.88,7.48,0,7.86,4.29,1.33,1.86,0.38,62,72.71,15.03,98.52,100,76.9,52,167,97.95,0,9999,999
2026-03-20,9026,960.7,2060,56,182,4.01,9,43.84,7.98,0,8.29,4.71,1.14,2.13,0.31,63,56.07,15.85,97.51,104,80.2,56,180,97.41,2,9999,999
2026-03-21,8910,929.2,2058,59,170,3.72,11,44.02,9.08,0,9.73,6.06,1.03,1.98,0.65,57,85.8,15.51,97.73,108,78.2,44,185,97.82,2,9999,999
2026-03-22,7092,746.0,2037,3,112,3.24,9,44.13,7.38,0,7.79,5.42,0.67,1.3,0.41,62,65.19,15.14,96.97,95,85.7,51,150,96.69,0,9999,999
2026-03-23,8867,938.4,2075,37,158,3.96,3,44.47,8.17,0,8.51,5.17,1.32,1.68,0.34,59,69.11,15.73,96.67,92,79.4,48,161,97.6,0,9999,999
2026-03-24,10854,976.6,2041,32,175,4.75,5,44.45,7.74,0,8.27,4.29,1.41,2.04,0.53,61,66.12,15.11,96.46,96,81.7,50,163,97.51,0,9999,999
2026-03-25,11088,907.4,1995,44,165,4.73,9,44.49,8.12,0,8.68,5.39,1.04,1.7,0.56,59,49.57,15.83,96.81,105,81.6,45,143,96.83,0,9999,999
2026-03-26,8421,865.1,2097,0,169,3.8,11,44.56,7.71,0,8.2,4.73,1.25,1.73,0.5,64,59.13,16.75,97.29,97,90.4,55,153,97.68,0,9999,999
2026-03-27,11291,1039.2,2060,47,142,5.21,13,44.73,7.8,0,8.11,5.54,0.71,1.55,0.31,62,69.88,14.47,97.44,105,83.6,49,149,97.31,0,9999,999
2026-03-28,10132,905.2,1965,39,185,4.37,3,44.71,7.79,0,8.34,4.84,1.31,1.63,0.56,59,66.91,14.61,95.69,101,81.5,49,176,97.61,3,9999,999
2026-03-29,7790,683.0,2065,20,126,3.02,15,43.43,6.61,0,7.04,3.38,0.98,2.25,0.44,60,66.81,14.77,98.04,94,83.5,51,141,97.66,0,9999,999
2026-03-30,9375,880.0,2015,48,141,3.94,14,43.89,7.95,0,8.33,5.1,0.98,1.86,0.38,60,61.41,14.5,96.08,93,81.4,51,156,97.76,0,9999,999
2026-03-31,8932,838.7,2027,30,164,4.17,5,44.49,8.69,0,8.79,5.36,0.99,2.35,0.1,60,58.36,14.65,97.19,95,81.6,51,163,97.22,0,9999,999
2026-04-01,7276,901.4,2070,72,155,3.31,2,44.47,,0,7.76,4.14,0.99,2.02,0.62,57,71.79,15.04,97.72,104,80.0,45,181,97.22,0,9999,999
2026-04-02,6518,778.3,2094,19,99,2.72,3,44.81,8.16,0,8.54,5.7,1.0,1.46,0.38,58,80.4,15.18,97.51,100,78.2,45,140,97.49,0,9999,999
2026-04-03,10729,1098.3,1997,54,167,5.12,5,43.83,8.0,0,8.22,5.09,1.28,1.64,0.22,67,50.43,14.93,97.5,93,80.8,56,146,98.11,2,9999,999
2026-04-04,11059,1044.2,2063,65,152,4.97,12,43.87,7.3,0,7.87,4.78,0.71,1.81,0.57,64,65.29,15.09,95.59,96,83.8,54,184,97.99,0,9999,999
2026-04-05,11118,1010.0,2026,11,168,5.28,14,44.54,8.33,0,8.74,5.5,0.97,1.87,0.41,65,73.77,14.87,95.98,98,87.0,57,157,96.9,0,9999,999
2026-04-06,12346,1134.2,2019,64,157,5.8,0,43.9,7.11,0,7.27,4.45,0.88,1.78,0.16,66,57.28,15.13,97.45,98,90.4,54,168,97.43,0,9999,999
2026-04-07,8329,818.8,2000,19,113,3.78,5,44.5,7.24,0,7.52,4.71,0.71,1.82,0.28,60,61.52,15.76,98.47,96,70.9,52,137,98.09,0,9999,999
2026-04-08,9917,1084.7,2019,82,144,4.44,12,44.24,6.81,0,7.22,3.84,0.73,2.24,0.41,62,51.47,15.76,99.5,105,83.4,52,154,97.68,0,9999,999
2026-04-09,2800,529.1,2074,27,168,1.43,5,44.64,6.83,0,7.29,3.47,1.11,2.25,0.46,62,61.51,14.49,96.63,99,76.0,53,153,97.84,0,9999,999
2026-04-10,11421,1010.2,2013,36,155,5.09,8,44.4,8.05,0,8.46,5.0,1.33,1.72,0.41,57,75.03,15.19,95.94,101,84.8,41,156,97.0,1,9999,999
2026-04-11,7124,842.5,2008,43,115,3.24,4,44.26,8.73,0,9.42,5.9,1.05,1.78,0.69,57,58.47,14.91,97.8,99,78.6,44,161,97.07,2,9999,999
2026-04-12,11977,1154.9,2019,21,127,5.25,13,44.99,7.61,0,7.96,5.51,0.76,1.35,0.35,64,63.4,15.26,97.58,100,85.7,57,153,97.41,0,9999,999
2026-04-13,13777,1017.5,2007,46,192,6.44,8,44.29,7.21,0,7.74,4.46,1.14,1.61,0.54,65,57.15,14.75,97.26,100,83.1,49,163,97.48,0,9999,999
2026-04-14,8694,776.4,2045,14,168,3.89,0,44.41,7.3,0,7.83,4.44,0.97,1.9,0.53,63,68.3,15.62,99.21,95,78.1,51,134,97.28,0,9999,999
2026-04-15,8801,883.8,1998,39,166,3.74,10,44.75,7.78,0,8.24,5.07,1.18,1.53,0.46,61,68.0,14.31,97.51,101,82.2,48,170,97.72,0,9999,999
2026-04-16,6684,719.8,2094,22,199,3.04,10,45.1,7.75,0,8.29,4.81,1.01,1.93,0.54,54,90.47,14.85,97.37,100,73.7,43,141,97.15,0,9999,999
2026-04-17,6726,875.8,2008,57,161,2.97,7,44.82,8.06,0,8.49,5.28,1.15,1.62,0.44,63,67.47,15.06,97.08,91,82.4,52,185,97.87,0,9999,999
2026-04-18,8997,829.0,2056,22,115,4.05,18,44.86,,0,7.87,4.38,1.11,1.82,0.56,63,52.28,15.61,98.33,96,89.9,54,155,96.92,3,9999,999
